GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectorm-1.0,com.ejwa.orm.model.dao,AbstractDAO,52,19,0,0,11,5,3,3,3,3
projectorm-1.0,com.ejwa.orm.model.dao,CategoryDAO,0,48,0,0,0,15,0,4,0,4
projectorm-1.0,com.ejwa.orm.model.dao,PaymentDAO,0,48,0,0,0,15,0,4,0,4
projectorm-1.0,com.ejwa.orm.model.dao,CustomerDAO,26,217,1,1,8,64,2,11,1,11
projectorm-1.0,com.ejwa.orm.model.dao,CustomerOrderDAO,0,88,0,0,0,27,0,6,0,6
projectorm-1.0,com.ejwa.orm.model.dao,ProductDAO,0,148,0,0,0,45,0,9,0,9
projectorm-1.0,service,SessionBeanTest,86,0,14,0,5,0,16,0,9,0
projectorm-1.0,service,CustomerServiceREST,133,0,0,0,30,0,17,0,17,0
projectorm-1.0,service,ProductServiceREST,85,0,0,0,17,0,13,0,13,0
projectorm-1.0,service,PaymentServiceREST,47,0,0,0,12,0,8,0,8,0
projectorm-1.0,service,CategoryServiceREST,54,0,0,0,13,0,9,0,9,0
projectorm-1.0,service,CustomerOrderServiceREST,78,0,0,0,17,0,10,0,10,0
projectorm-1.0,com.ejwa.wsconig,JAXRSConfiguration,3,0,0,0,1,0,1,0,1,0
projectorm-1.0,com.ejwa.security,LoginBeanTest,63,0,4,0,22,0,10,0,8,0
projectorm-1.0,com.ejwa.security,InMemoryIdentityStore4Authorization,105,0,4,0,23,0,6,0,4,0
projectorm-1.0,com.ejwa.orm.model.entity,QPayment_,0,52,0,2,0,10,0,5,0,4
projectorm-1.0,com.ejwa.orm.model.entity,CustomerOrder,170,96,31,13,1,7,28,10,6,10
projectorm-1.0,com.ejwa.orm.model.entity,QCustomer_,0,92,0,2,0,15,0,5,0,4
projectorm-1.0,com.ejwa.orm.model.entity,Payment,113,76,24,10,0,6,21,8,4,8
projectorm-1.0,com.ejwa.orm.model.entity,QCustomerOrder_,0,76,0,4,0,12,0,6,0,4
projectorm-1.0,com.ejwa.orm.model.entity,QCategory_,0,44,0,0,0,10,0,4,0,4
projectorm-1.0,com.ejwa.orm.model.entity,Customer,311,187,68,26,0,14,55,15,9,14
projectorm-1.0,com.ejwa.orm.model.entity,QProduct_,1,75,1,1,0,13,1,4,0,4
projectorm-1.0,com.ejwa.orm.model.entity,Category,111,78,24,10,0,6,21,8,4,8
projectorm-1.0,com.ejwa.orm.model.entity,Product,211,124,45,17,0,9,38,11,7,11
